a_id,a_id,a_name,a_country,a_city,a_prov,a_web
513,1047,arak university technology,iran,tehran,,http://www.arakut.ac.ir/index.php?slc_lang=en&sid=1
514,1048,arba minch university,ethiopia,arba minch,debub,http://www.arbaminch-univ.com/
515,1049,arcada university applied sciences,finland,helsinki,,http://www.arcada.fi
516,1050,arcadia university,united states,glenside,pennsylvania,http://www.arcadia.edu
518,1052,ardahan university,turkey,ardahan,,http://www.ardahan.edu.tr/
521,1074,aria institute higher education,afghanistan,mazar e sharif,balkh,http://www.aria.edu.af/en/
522,1075,ariana institute higher education,afghanistan,jalalabad,garhr,http://www.ariana.edu.af
523,1076,ariel university,israel,ariel,,http://www.ariel.ac.il/
524,1077,aristotle university ssaloniki,greece,thessaloniki,,http://www.auth.gr
525,1079,arizona state university,united states,tempe,arizona,http://www.asu.edu
527,1081,arkansas baptist college,united states,little rock,arkansas,http://www.arkansasbaptist.edu
528,1082,arkansas state university,united states,jonesboro,arkansas,http://www.astate.edu
